date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:42	113160/113160	---MCZ	200	added ('OK')	text/html	etag:W/%225f180952-1ba08%22	https://demo.artureanec.com/html/helpo/index.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/index.html	(from )
12:12:52	113/113	---M-Z	200	added ('OK')	text/plain	date:Fri,%2024%20May%202024%2011:13:21%20GMT	https://demo.artureanec.com/robots.txt		(from )
12:12:55	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225f1809bf-47e%22	https://demo.artureanec.com/html/helpo/img/favicon.ico	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/img/favicon.ico	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:00	396511/396511	---MCZ	200	added ('OK')	text/css	etag:W/%225f180967-60cdf%22	https://demo.artureanec.com/html/helpo/css/styles.min.css	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/css/styles.min.css	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:07	108665/108665	---MCZ	200	added ('OK')	text/html	etag:W/%225f180950-1a879%22	https://demo.artureanec.com/html/helpo/front_3.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/front_3.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:11	108126/108126	---MCZ	200	added ('OK')	text/html	etag:W/%225f18094f-1a65e%22	https://demo.artureanec.com/html/helpo/front_2.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/front_2.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:20	89496/89496	---MCZ	200	added ('OK')	text/html	etag:W/%225f180a79-15d98%22	https://demo.artureanec.com/html/helpo/mono/index.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/mono/index.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:20	98266/98266	---MCZ	200	added ('OK')	text/html	etag:W/%225f180a76-17fda%22	https://demo.artureanec.com/html/helpo/mono/front_2.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/mono/front_2.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:22	86885/86885	---MCZ	200	added ('OK')	text/html	etag:W/%225f180a77-15365%22	https://demo.artureanec.com/html/helpo/mono/front_3.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/mono/front_3.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:22	87823/87823	---MCZ	200	added ('OK')	text/html	etag:W/%225f180946-1570f%22	https://demo.artureanec.com/html/helpo/about.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/about.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:23	82885/82885	---MCZ	200	added ('OK')	text/html	etag:W/%225f180963-143c5%22	https://demo.artureanec.com/html/helpo/typography.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/typography.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:23	81894/81894	---MCZ	200	added ('OK')	text/html	etag:W/%225f18094b-13fe6%22	https://demo.artureanec.com/html/helpo/donors.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/donors.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:23	77105/77105	---MCZ	200	added ('OK')	text/html	etag:W/%225f180964-12d31%22	https://demo.artureanec.com/html/helpo/volunteer.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/volunteer.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:23	83293/83293	---MCZ	200	added ('OK')	text/html	etag:W/%225f18094e-1455d%22	https://demo.artureanec.com/html/helpo/events.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/events.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:24	79374/79374	---MCZ	200	added ('OK')	text/html	etag:W/%225f18094e-1360e%22	https://demo.artureanec.com/html/helpo/event-details.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/event-details.html	(from https://demo.artureanec.com/html/helpo/index.html)
12:13:24	78458/78458	---MCZ	200	added ('OK')	text/html	etag:W/%225f18095d-1327a%22	https://demo.artureanec.com/html/helpo/stories.html	C:/My%20Web%20Sites/phi1/demo.artureanec.com/html/helpo/stories.html	(from https://demo.artureanec.com/html/helpo/index.html)
